customer_id,snapshot_date,recency_days,purchase_frequency,total_orders,total_sales_value,average_order_value,recent_30_day_orders,recent_30_day_sales,recent_90_day_orders,recent_90_day_sales,historical_customer_age_days,average_days_between_orders,last_purchase_amount,sales_growth_rate,order_frequency_trend,churn_target
027e2c71-76f6-44d8-b214-51097fc3e605,2024-11-28,1,0.2913,2,3021.96,1510.98,2.0,3021.96,2.0,3021.96,206,28.0,1286.01,0.0,0.0,0
05f197bf-0bdd-44a5-84bb-1878a08666b6,2024-11-28,11,0.041,1,1080.17,1080.17,1.0,1080.17,1.0,1080.17,732,0.0,1080.17,0.0,0.0,0
066b0bf5-5f5a-4c95-a709-b1fc1d059f94,2024-11-28,17,0.1132,2,7638.16,3819.08,2.0,7638.16,2.0,7638.16,530,1.0,4714.66,0.0,0.0,0
0915900f-d22e-42b0-8e9e-810e55498a13,2024-11-28,9,0.0409,1,4908.4,4908.4,1.0,4908.4,1.0,4908.4,734,0.0,4908.4,0.0,0.0,0
091ba1e5-58cf-4e6c-badc-17dbe89dea69,2024-11-28,4,0.0871,2,9893.71,4946.855,1.0,9343.12,2.0,9893.71,689,84.0,9343.12,0.0,0.0,0
0b94772b-0571-4308-92cc-ac6baf2ac02b,2024-11-28,33,0.0528,1,3421.65,3421.65,0.0,0.0,1.0,3421.65,568,0.0,3421.65,-1.0,-1.0,0
0d0e2d20-27bb-4c93-9f8f-b7710b37194a,2024-11-28,20,0.0434,1,6770.62,6770.62,1.0,6770.62,1.0,6770.62,692,0.0,6770.62,0.0,0.0,0
10cb2e84-0bd1-4b29-8db3-06ae3488789d,2024-11-28,34,0.3346,3,18159.64,6053.213333,0.0,0.0,3.0,18159.64,269,20.0,5035.13,-1.0,-1.0,1
12be2694-e03e-4703-878e-8ce9ad582cf1,2024-11-28,41,0.0391,1,2835.15,2835.15,0.0,0.0,1.0,2835.15,767,0.0,2835.15,-1.0,-1.0,0
13995ae9-c50f-4813-b0ba-6e044fe0b9ef,2024-11-28,24,0.0561,1,1581.68,1581.68,1.0,1581.68,1.0,1581.68,535,0.0,1581.68,0.0,0.0,0
1762b46f-b7ef-481c-9e0b-7e6d2033bcf4,2024-11-28,90,0.1389,1,951.03,951.03,0.0,0.0,0.0,0.0,216,0.0,951.03,0.0,0.0,1
1c22a6c4-3de0-4f96-b62a-3a6edbbaf732,2024-11-28,42,0.0427,1,3365.15,3365.15,0.0,0.0,1.0,3365.15,702,0.0,3365.15,-1.0,-1.0,0
1fff1144-0a72-44bd-ae41-900fd84b9dec,2024-11-28,48,0.0412,1,8255.8,8255.8,0.0,0.0,1.0,8255.8,729,0.0,8255.8,-1.0,-1.0,0
20791844-68d1-4c47-8940-96e45daf918f,2024-11-28,76,0.04,1,1285.89,1285.89,0.0,0.0,1.0,1285.89,750,0.0,1285.89,0.0,0.0,0
21a51334-c936-4d66-b3de-22e7b162ade5,2024-11-28,13,0.0412,1,5295.74,5295.74,1.0,5295.74,1.0,5295.74,728,0.0,5295.74,0.0,0.0,1
2277c61c-6a77-4651-9d4b-9cccf937b007,2024-11-28,53,0.0459,1,1942.79,1942.79,0.0,0.0,1.0,1942.79,654,0.0,1942.79,-1.0,-1.0,1
