business_id,date,cash_inflow,cash_outflow,net_cash_flow,cash_inflow_rolling_7,cash_inflow_rolling_30,cash_outflow_rolling_7,cash_outflow_rolling_30,net_cash_flow_rolling_7,net_cash_flow_rolling_30,net_cash_flow_lag_1,net_cash_flow_lag_7,day_of_week,day_of_month,month,days_since_series_start
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-14,0.0,65458.18,-65458.18,0.0,0.0,69573.43714285715,57276.96833333334,-69573.43714285715,-57276.96833333334,-68135.84,-103758.66,5,14,9,30
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-15,0.0,44780.08,-44780.08,0.0,0.0,64101.94,57800.27166666666,-64101.94,-57800.27166666666,-65458.18,-76447.56,6,15,9,31
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-16,0.0,13277.48,-13277.48,0.0,0.0,59578.01428571429,57894.861333333334,-59578.01428571429,-57894.861333333334,-44780.08,-33922.08,0,16,9,32
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-17,434.28,107723.93,-107289.65,0.0,0.0,56628.78571428572,56550.36166666667,-56628.78571428572,-56550.36166666667,-13277.48,-99850.6,1,17,9,33
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-18,0.0,105750.76,-105750.76,62.04,14.475999999999999,57753.54714285714,57598.03233333333,-57691.50714285714,-57583.556333333334,-107289.65,-33857.38,2,18,9,34
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-19,0.0,37860.53,-37860.53,62.04,14.475999999999999,68024.03,60722.698333333334,-67961.98999999999,-60708.22233333333,-105750.76,-71041.94,3,19,9,35
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-20,0.0,101919.4,-101919.4,62.04,14.475999999999999,63283.82857142858,59773.603,-63221.78857142857,-59759.127,-37860.53,-68135.84,4,20,9,36
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-21,0.0,76404.01,-76404.01,62.04,14.475999999999999,68110.05142857143,60188.74633333333,-68048.01142857142,-60174.27033333333,-101919.4,-65458.18,5,21,9,37
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-22,0.0,106962.11,-106962.11,62.04,14.475999999999999,69673.74142857143,62467.03599999999,-69611.70142857142,-62452.55999999999,-76404.01,-44780.08,6,22,9,38
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-23,0.0,40409.35,-40409.35,62.04,14.475999999999999,78556.88857142857,65423.319,-78494.84857142856,-65408.843,-106962.11,-13277.48,0,23,9,39
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-24,0.0,0.0,0.0,62.04,14.475999999999999,82432.87,66588.03199999999,-82370.82999999999,-66573.556,-40409.35,-107289.65,1,24,9,40
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-25,0.0,1314.55,-1314.55,0.0,14.475999999999999,67043.73714285714,65610.988,-67043.73714285714,-65596.512,0.0,-105750.76,2,25,9,41
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-26,0.0,112949.02,-112949.02,0.0,14.475999999999999,52124.27857142857,64353.38566666666,-52124.27857142857,-64338.90966666666,-1314.55,-37860.53,3,26,9,42
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-27,0.0,94835.67,-94835.67,0.0,14.475999999999999,62851.205714285716,65793.25433333333,-62851.205714285716,-65778.77833333334,-112949.02,-101919.4,4,27,9,43
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-28,0.0,24450.26,-24450.26,0.0,14.475999999999999,61839.24428571428,63521.959333333325,-61839.24428571429,-63507.48333333333,-94835.67,-76404.01,5,28,9,44
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-29,0.0,0.0,0.0,0.0,14.475999999999999,54417.27999999999,62061.90666666666,-54417.280000000006,-62047.43066666667,-24450.26,-106962.11,6,29,9,45
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-30,0.0,114693.99,-114693.99,0.0,14.475999999999999,39136.97857142857,60005.528999999995,-39136.97857142857,-59991.05299999999,0.0,-40409.35,0,30,9,46
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-01,0.0,41929.45,-41929.45,0.0,14.475999999999999,49749.07,62780.383333333324,-49749.07,-62765.90733333334,-114693.99,0.0,1,1,10,47
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-02,1940.69,109503.09,-107562.4,0.0,14.475999999999999,55738.991428571426,61366.14266666667,-55738.991428571426,-61351.666666666664,-41929.45,-1314.55,2,2,10,48
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-03,0.0,5192.3,-5192.3,277.24142857142857,79.16566666666668,71194.49714285714,63647.27766666666,-70917.25571428571,-63568.111999999994,-107562.4,-112949.02,3,3,10,49
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-04,0.0,133651.02,-133651.02,277.24142857142857,79.16566666666668,55800.67999999999,63430.602666666666,-55523.43857142857,-63351.437000000005,-5192.3,-94835.67,4,4,10,50
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-05,0.0,29056.0,-29056.0,277.24142857142857,79.16566666666668,61345.729999999996,66610.18433333334,-61068.48857142857,-66531.01866666667,-133651.02,-24450.26,5,5,10,51
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-06,0.0,77923.51,-77923.51,277.24142857142857,79.16566666666668,62003.69285714285,65892.21833333334,-61726.451428571425,-65813.05266666667,-29056.0,0.0,6,6,10,52
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-07,1558.39,48885.3,-47326.91,277.24142857142857,79.16566666666668,73135.62285714285,64435.291666666664,-72858.38142857143,-64356.126000000004,-77923.51,-114693.99,0,7,10,53
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-08,476.04,9609.47,-9133.43,499.86857142857144,131.112,63734.381428571425,62606.17966666667,-63234.51285714285,-62475.06766666667,-47326.91,-41929.45,1,8,10,54
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-09,349.18,29665.67,-29316.49,567.8742857142857,146.98000000000002,59117.24142857142,60378.24333333333,-58549.36714285713,-60231.26333333333,-9133.43,-107562.4,2,9,10,55
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-10,0.0,108142.91,-108142.91,340.5157142857143,158.61933333333334,47711.89571428572,60236.363,-47371.380000000005,-60077.74366666666,-29316.49,-5192.3,3,10,10,56
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-11,0.0,81953.83,-81953.83,340.5157142857143,158.61933333333334,62419.125714285714,60512.77333333333,-62078.61,-60354.154,-108142.91,-133651.02,4,11,10,57
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-12,0.0,10782.8,-10782.8,340.5157142857143,158.61933333333334,55033.81285714286,62115.98833333333,-54693.29714285715,-61957.36899999999,-81953.83,-29056.0,5,12,10,58
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-13,4661.13,179028.98,-174367.85,340.5157142857143,158.61933333333334,52423.35571428571,60107.350333333336,-52082.840000000004,-59948.731,-10782.8,-77923.51,6,13,10,59
