invoice_id,customer_id,as_of_date,invoice_amount,payment_terms_days,historical_invoice_count,historical_total_invoice_value,historical_average_invoice_amount,historical_paid_invoice_count,historical_late_payment_count,historical_late_payment_rate,historical_average_payment_delay_days,historical_max_payment_delay_days,historical_outstanding_amount,historical_outstanding_ratio,late_payment_target
7c0ddc6e-3ded-4667-bd93-c96f01d07b8c,45b35575-e766-4b46-861c-910c86237813,2025-01-21,2461.19,15,3,6602.30,2200.766667,3,1,0.3333,1.0000,3,0.00,0.000000,1
5fdcc5f3-442c-49c5-a4e4-0e911a0f2314,0915900f-d22e-42b0-8e9e-810e55498a13,2025-01-22,1573.27,15,4,11595.36,2898.840000,4,1,0.2500,0.5000,2,0.00,0.000000,0
43e6eb69-0fdb-487a-ad02-fd4b99fff028,86ab916f-9734-41f0-b5c0-9bbc082b3251,2025-02-15,993.26,30,3,11687.16,3895.720000,3,1,0.3333,0.6667,2,0.00,0.000000,1
71ec963f-c64d-4bc7-ad63-03285693bf48,54739a70-fe3b-45f0-b6da-5eb96fddebc6,2025-02-18,2351.66,30,3,12792.09,4264.030000,3,2,0.6667,1.0000,2,0.00,0.000000,1
05582a21-e1e9-4cb1-a3f5-43610aaeadc2,86ab916f-9734-41f0-b5c0-9bbc082b3251,2025-02-21,1274.18,30,4,12680.42,3170.105000,3,1,0.3333,0.6667,2,993.26,0.078330,1
9cd91824-1042-4cd3-b4df-d4204e7c193d,8daa11dd-d410-44bf-a0de-622a9ca7c78d,2025-02-26,1904.15,15,3,15046.82,5015.606667,2,0,0.0000,0.0000,0,627.48,0.041702,1
dea2c7ec-7d0f-4415-b7e1-8e29f1fdfd17,ff29a3b3-fb27-44ad-8dcc-9551fb3c7420,2025-02-26,1246.35,45,3,4278.30,1426.100000,2,0,0.0000,0.0000,0,864.15,0.201984,0
05c7ab41-ef22-4f16-b563-3b740cc3a586,5772f550-5886-44ab-b618-cc525d22c053,2025-03-01,1754.08,30,3,6842.46,2280.820000,2,1,0.5000,1.5000,3,4800.21,0.701533,0
c62bf19c-6426-4ef8-9509-56ab0ed51ab1,66aa9f2d-de6b-4def-8269-b6d0177dbf9a,2025-03-05,1940.24,30,3,27972.79,9324.263333,3,1,0.3333,1.0000,3,0.00,0.000000,1
8761af95-900c-4ae7-96c6-195575b45a27,54739a70-fe3b-45f0-b6da-5eb96fddebc6,2025-03-09,349.18,30,4,15143.75,3785.937500,3,2,0.6667,1.0000,2,2351.66,0.155289,0
